Епителната тъкан покрива:;а. само външната повърхност на тялото;б. само кухините на вътрешните органи;в. външната повърхност на тялото, вътрешната повърхност на кухите вътрешни органи и въздухоносните пътища;г. само въздухоносните пътища и повърхността на тялото;в;Тема 1
Органите в животинския и човешкия организъм се изграждат от:;а. еднакви по вид тъкани, изпълняващи различни функции;б. различни по вид тъкани, изпълняващи еднаква функция;в. различни тъкани, като всяка тъкан изпълнява своята функция;г. еднакви тъкани, с еднаква функция;в;Тема 1
Съединителната тъкан не включва:;а. мускулни влакна;б. колагенови влакна;в. междуклетъчно вещество;г. еластични влакна;а;Тема 1
Мастната тъкан е:;а. нервна тъкан;б. мускулна тъкан;в. епителна тъкан;г. съединителна тъкан;г;Тема 1
Кръвта е:;а. мускулна тъкан;б. епителна тъкан;в. нервна тъкан;г. съединителна тъкан;г;Тема 1
Коя от посочените функции не е характерна за кръвта?;а. транспортна;б. защитна;в. опорна;г. терморегулационна;в;Тема 1
Кое от посочените не е част от неврона?;а. ядро;б. дендрит;в. глия;г. аксон;в;Тема 1
Сърдечната мускулна тъкан е изградена от:;а. дълги многоядрени клетки;б. къси напречно набраздени клетки;в. гладки и напречно набраздени клетки;г. вретеновидни гладки клетки;б;Тема 1
Жлезите с външна секреция са вид:;а. съединителна тъкан;б. епителна тъкан;в. мускулна тъкан;г. нервна тъкан;б;Тема 1
Жлезите с вътрешна секреция отделят секретите си:;а. в кухините на вътрешните органи;б. в кръвта;в. на повърхността на тялото;г. кухините на вътрешните органи и по повърхността на тялото;б;Тема 1
Кое твърдение за нервната клетка е вярно?;а. дендритите са винаги два броя;б. има две и повече ядра;в. аксонът може да има миелинова обвивка;г. дендритите винаги са по-дълги от аксоните;в;Тема 1
Нервните импулси възникват:;а. в дендритите на неврона;б. в рецепторните нервни клетки;в. в аксона на неврона;г. глиалните клетки;б;Тема 1
Кое от следните твърдения за глиалните клетки не е вярно?;а. по-малко са на брой от невроните;б. няколко вида са и изпълняват различни функции;в. служат за механична опора на невроните;г. глиалните клетки образуват миелиновата обвивка;а;Тема 1
Гладката мускулна тъкан не участва в изграждането на:;а. стените на стомаха;б. пикочен мехур;в. език;г. матка;в;Тема 1
Скелетната мускулна тъкан е изградена от:;а. къси многоядрени клетки;б. дълги многоядрени клетки;в. къси едноядрени клетки;г. дълги едноядрени клетки;б;Тема 1
Сърдечната мускулна тъкан е изградена от:;а. къси вретеновидни клетки;б. дълги многоядрени клетки;в. къси напречно набраздени, с 1-2 ядра клетки;г. къси гладки клетки;в;Тема 1
Епителната тъкан не участва в изграждането на:;а. жлезите;б. лигавиците;в. кожата;г. мастната тъкан;г;Тема 1
Волева е:;а. сърдечната мускулна тъкан;б. гладката мускулна тъкан;в. скелетната мускулна тъкан;г. сърдечната и гладка мускулна тъкан;в;Тема 1
За невроните не е характерно да имат:;а. две и повече ядра;б. един аксон;в. няколко дендрити;г. няколко разклонения на аксона;а;Тема 1
Дължина на аксона при човек може да достигне:;а. най-много до 50 см;б. най-много до 20 см;в. най-много до 5 см;г. повече от 1 м;г;Тема 1
Миелиновата обвивка се образува от:;а. аксоните;б. глиалните клетки;в. дендритите;г. съединителната тъкан;б;Тема 1
В кои от изброените тъкани има най-голямо количество междуклетъчно вещество?;а. съединителна;б. епителна;в. мускулна;г. нервна;а;Тема 1
Като резерв на енергия служи:;а. кръвта;б. мастната тъкан;в. мускулната тъкан;г. хрущялната тъкан;б;Тема 1
Организмът на животните е изграден на йерархичен принцип, което означава, че по-висшите нива на организация надграждат по-низшите такива. Например:;а. молекулите надграждат клетъчните органели;б. тъканите надграждат системите от органи;в. организмът (мезосистемата) надгражда тъканите, органите и системите;г. надмолекулните комплекси надграждат клетъчните органели;в;Тема 2
Надклетъчните нива на организация при животните са:;а. органел, клетка, орган, система;б. тъкан, орган, система от органа, организъм;в. вътрешна течна среда, орган, система, организъм;г. надмолекулен комплекс, клетка, тъкан, орган;б;Тема 2
Най-малката цялостна жива система, основна структурна и функционална единица на организма е:;а. нуклеиновата киселина;б. клетката;в. мезосистемата;г. макросистемата;б;Тема 2
Какво обединява дадена група от органи в система?;а. сходната им морфология;б. месторазположението им в организма;в. общата им функция;г. общият произход на тъканите, които ги изграждат;в;Тема 2
В системите от органи при гръбначните животни присъстват:;а. само по един орган;б. различни органи които изпълняват общи функции;в. различни органи изпълняващи различни функции;г. различни органи изградени само от един вид тъкан;б;Тема 2
Изберете най-точната характеристика. Вътрешната среда на многоклетъчните животински организми и човека:;а. включва кръв, лимфа и тъканна течност;б. снабдява клетките в организма с хранителни вещества;в. поддържа постоянно по стойност осмотично налягане в организма;г. снабдява клетките в организма с кислород;а;Тема 2
Подсистеми на микросистемата са:;а. тъкани, органи, системи;б. атоми, малки и големи молекули, надмолекулни комплекси, органели;в. популации, биоценози, екосистема;г. цитоплазма и органели;б;Тема 2
Системите за регулация в многоклетъчния организъм са изградени и функционират на основата на два принципа:;а. принципа на правата връзка и химичната сигнализация;б. принципа на правата връзка и нервната сигнализация;в. принципа на йерархичната съподчиненост и на обратната връзка;г. принципа на правата и обратната връзка;в;Тема 2
Хормоните, произведени от хипофизата:;а. повлияват дистанционно всички други клетки в организма;б. регулират секрецията на периферни хормони (хормони от щитовидната, кората на надбъбречните и половите жлези);в. са единствените хормони произвеждани от ендокринната система;г. притежават слаба специфичност и продължително действие върху клетки, лишени от рецептори за тях;б;Тема 2
Най-голямата биологична система в равнищата на организация на живата материя е:;а. клетка;б. популация;в. биоценоза;г. биосфера;г;Тема 2
Метаболизмът:;а. обединява всички биохимични процеси, участващи в поддържането на живота на клетките и по този начин на организма;б. е относително постоянство на вътрешната среда на организма;в. е нервна система за регулация в многоклетъчния организъм;г. бива катаболен процес, който изразходва енергия за синтез на прости молекули в по-сложни макромолекули;а;Тема 2
За правилното функциониране на организма на човек се поддържат относително постоянни по стойност показатели на:;а. кръвта и кръвните клетки;б. алкално-киселинното равновесие;в. телесната температура;г. всички изброени по-горе;г;Тема 2
Кое от посочените твърдения не е правилно за принципа на обратната връзка за регулация:;а. обратната връзка е механизъм, чрез който в една биосистема се предава сигнал от входа към нейния изход;б. обратната връзка има голямо значение за координацията на движенията и за секрецията на хормони;в. обратната връзка може да бъде отрицателна и положителна;г. чрез обратна връзка се осъществява регулация на ензимната активност чрез обратно инхибиране;а;Тема 2
Изберете най-точният отговор. Функциите на предния и задния дял на хипофизата се контролира от действието на:;а. хипоталамуса;б. панкреаса;в. черния дроб;г. половите жлези;а;Тема 2
Кое от следните твърдения не се отнася за многоклетъчният организъм?;а. отличава се с висока степен на подреденост на изграждащите го структури;б. включва подсистемите клетки, тъкани, органи, системи от органи;в. функционирайки в организма системите от органи са структурно и функционална разделени една от друга;г. е самостоятелно съществуваща цялостна система;в;Тема 2
Хипофизата е тясно свързана с хипоталамуса, двете структури се обединяват под названието:;а. хипофизно-хипоталамична система;б. хипофизна система;в. хипоталамусна система;г. хипоталамо-хипофизна система;г;Тема 2
В колко на брой царства е обединен организмовия свят?;а. растения, животни, гъби, протиста, монера;б. растения, животни, гъби;в. прокариоти, еукариоти, вируси, бактерии, синьо зелени водорасли;г. сукариоти, прокариоти;а;Тема 2
Органът представлява:;а. съвкупност от органели, обединени в системи, които изпълняват конкретна функция в организма;б. междинно подклетъчно виво на организация, позиционирано между тъкан и система от органи;в. функционално единство от тъкани, които осигуряват определена жизнена потребност на организма;г. ниво на организация между органел и тъкан;в;Тема 2
Атоми, молекули, надмолекулни комплекси и органели са подсистеми на:;а. клетката;б. многоклетъчния организъм;в. биосферата;г. екосистемата;а;Тема 2
Регулацията на хомеостазата при висшите животни и човека се осъществява чрез:;а. нервната и имунната система;б. нервната, имунната и отделителната система;в. вегетативната нервна система;г. нервната и ендокринната система по механизма на обратната. връзка;г;Тема 2
Кой тип нервна система осигурява връзката с околната среда чрез сетивните системи и двигателния апарат?;а. вегетативна;б. централна;в. периферна;г. соматична;г;Тема 3
Кой тип нервна система получава информация от вътрешните органи?;а. вегетативна;б. централна;в. периферна;г. соматична;а;Тема 3
Въз основа на функцията си нервната система се дели на:;а. периферна и централна;б. вегетативна и соматична;в. главен и гръбначен мозък;г. сетивна и двигателна;б;Тема 3
В зависимост от местоположението нервната система се дели на:;а. главен и гръбначен мозък;б. вегетативна и соматична;в. периферна и централна;г. сетивна и двигателна;в;Тема 3
Кой дял от нервната система се намира в черепа?;а. вегетативна нервна система;б. гръбначен мозък;в. главен мозък;г. соматична нервна система;в;Тема 3
Колко обвивки има централната нервна система?;а. две;б. пет;в. една;г. три;г;Тема 3
Каква функция имат обвивките на централната нервна система?;а. регулаторна;б. рефлекторна;в. защитна;г. дренажна;в;Тема 3
Коя от функциите е присъща на гръбначния мозък?;а. проводна;б. защитна;в. предпазна;г. дренажна;а;Тема 3
Коя от функциите не е присъща на централната нервна система?;а. контрол на поведението;б. внимание;в. реч;г. храносмилане;г;Тема 3
Коя от следните структури не е част от периферната нервна система?;а. нерви;б. нервни възли;в. базални ядра;г. нервни сплетения;в;Тема 3
Кой от елементите, обвиващи структурите на централната нервна система, има най-голямо значение за предпазване на мозъка от удари и сътресения?;а. мека мозъчна обвивка;б. твърда мозъчна обвивка;в. мозъчна течност;г. паяжиновидна мозъчна обвивка;в;Тема 3
