"Епителната тъкан:
1. покрива външната повърхност на тялото
2. покрива вътрешната повърхност на сърце и кръвоносни съдове
3. покрива вътрешната повърхност на кухите вътрешни органи
4. участва в образуването на миелиновата обвивка

а. 1, 4
б. 2, 3, 4
в. 1, 2, 3
г. 2, 4";в;Тема 1;
"В изграждането на епителната тъкан участват:
1. плоски клетки
2. кубични клетки
3. ресничести клетки
4. триъгълни клетки

а. 1, 2, 3
б. 1, 3, 4
в. 1, 2, 3, 4
г. 2, 4";а;Тема 1;
"Съединителната тъкан съдържа:
1. мускулни влакна
2. колагенови влакна
3. междуклетъчно вещество
4. еластични влакна

а. 1, 2, 3
б. 1, 3, 4
в. 1, 2, 3, 4
г. 2, 4";в;Тема 1;
"Коя функция е характерна за кръвта?
1. транспортна
2. защитна
3. опорна
4. терморегулаторна

а. 1, 3
б. 2, 3
в. 1, 2, 4
г. 1, 2, 3, 4";в;Тема 1;
"Кои от посочените са части на неврона?
1. ядро
2. дендрити
3. глия
4. аксон

а. 1, 2, 3, 4
б. 3, 4
в. 1, 2, 3
г. 1, 2, 4";г;Тема 1;
"Глиалните клетки:
1. участват в предаването на нервните импулси
2. са повече на брой от невроните
3. образуват миелиновата обвивка
4. служат за механична опора на невроните

а. 2, 3, 4
б. 1, 2, 3, 4
в. 3, 4
г. 1, 2";а;Тема 1;
"Епителната тъкан образува:
1. жлезите
2. лигавиците
3. кожата
4. кръвта

а. 1, 2, 3
б. 2, 3, 4
в. 3, 4
г. 1, 2";а;Тема 1;
"Клетките на мастната тъкан:
1. са резерв на енергия
2. имат значение за топлинната регулация
3. имат транспортна функция
4. имат проводна функция

а. 2, 4
б. 1, 2
в. 1, 3
г. 1, 2, 3";б;Тема 1;
"Неволева е:
1. скелетната мускулна тъкан
2. гладката мускулна тъкан
3. сърдечната мускулна тъкан
4. нито една от изброените

а. 4
б. 1, 2, 3
в. 2, 3
г. 1, 2";в;Тема 1;
"Невронът притежава:
1. две и повече ядра
2. един аксон
3. няколко дендрити
4. няколко разклонения на дендритите

а. 2, 4
б. 1, 2, 3, 4
в. 3, 4
г. 1, 2";г;Тема 1;
"Системите за регулация в многоклетъчния организъм са изградени и функционират на базата на два принципа:
1. на йерархичната съподчиненост
2. на правата връзка
3. на обратната връзка
4. на двойната връзка

а. 1, 3
б. 2, 3
в. 1, 4
г. 2, 3, 4";а;Тема 2;
"Кои от следните твърдения са верни?
1. системите в многоклетъчния организъм са структурно и функционално разделени
2. всяка система с изградена само от един функциониращ орган
3. системата представлява кооперация от органи с обща функция
4. системата от органи представлява подсистема на организма в равнището на организация на живата материя

а. 1, 2
б. 2, 3
в. 3, 4
г. 1, 4";в;Тема 2;
"Организмът на животните е изграден на йерархичен принцип, което означава, че по-висшите нива на организация надграждат по-низшите такива. Например:
1. молекулите надграждат клетъчните органели
2. системите от органи надграждат органите
3. организмът (мезосистемата) надгражда органите и системите
4. надмолекулните комплекси надграждат клетъчните органели

а. 1, 2
б. 2, 4
в. 2, 3
г. 1, 3, 4";в;Тема 2;
"На принципа на положителната обратна връзка се регулират:
1. събитията при раждане
2. терморегулацията
3. съсирването на кръвта
4. хормоналната активност

а. 1, 3
б. 2, 4
в. 3, 4
г. 1, 2, 4";а;Тема 2;
"От предния дял на хипофизата се отделят хормони, които стимулират:
1. нарастването на костите и хрущялите
2. съкращаването на маточната мускулатура по време на родовия акт
3. продукцията на мляко
4. секрецията на кафявия пигмент меланин

а. 1, 2
б. 2, 3
в. 1, 3, 4
г. 2, 3, 4";в;Тема 2;
"Характеристики на организма като система са:
1. отделните части на организма способстват за по-пълното му приспособяване към условията на средата
2. целостта на многоклетъчния организъм като система се поддържа от взаимодействието на съставящите го части и от взаимодействието на организма със заобикалящата го среда
3. разрушаване на частите на многоклетъчния организъм или на връзките и взаимодействията между тях води до смърт на организма
4. ако органите при висшите животни се разделят на части от всяка част може да се образува нов цялостен и функциониращ орган

а. 1, 4
б. 1, 3
в. 2, 3, 4
г. 1, 2, 3";г;Тема 2;
"Кои от следните твърдения са най-точни?
1. хомеостазата е относително постоянство на вътрешната среда на организма независимо от променящите се условия, в КОИТО живее
2. регулаторните механизми поддържащи хомеостазата функционират само на организмово равнище
З. механизмите за поддържане на хомеостазата са най-развити при топлокръвните животни живеещи на сушата
4. вътрешната среда на организма се състои от кръв и лимфа

а. 2, 4
б. 1, 2, 3
в. 2, 3, 4
г. 1, 3";г;Тема 2;
"Клетката е носител на основните свойства на живота, тя е:
1. макросистема
2. цялостна система
3.отворена система
4. йерархично организирана система

а. 2, 4
б. 1, 2, 3
в. 2, 3, 4
г. 1, 3, 4";в;Тема 2;
"Органите представляват:
1. функционално единство от тъкани
2. ниво на организация между клетъчен органел и тъкан
3. междинна подсистема на многоклетъчния организъм, позиционирана между тъканите и системите
4. междинно подклетъчно ниво на организация, позиционирано между тъканите и системите

а 1, 2
б. 1, 3
в. 1, 4
г. 2, 3, 4";б;Тема 2;
"Хомеостазата:
1. се поддържа по механизма на правата връзка
2. се осигурява от вътрешната течна среда на организма - кръв, лимфа, тъканна течност
3. е относително постоянство на вътрешната среда на организма
4. се осъществява чрез нервната и ендокринната система

а. 1, 2
б. 1, 3
в. 2, 3, 4
г. 1, 2, 4";в;Тема 2;
"Нервната система има следните функционални дялове:
1. вегетативна
2. централна
3. периферна
4. соматична

а. 1 и 2
б. 1 и 4
в. 2 и 4
г. 2 и 3";б;Тема 3;
"Кои от следните структури са части от периферната нервна система?
1. нерви
2. нервни възли
3. базални ядра
4. нервни сплетения

а. 1 и 2
б. 1 и 4
в. 2 и 3
г. 1, 2 и 4";г;Тема 3;
"Кои са частите на рефлексната дъга?
1. сетивен неврон
2. двигателен неврон
3. жлезист неврон
4. гръбначномозъчен възел

а 1 и 2
б. 1, 2 и 3
в. 1, 2 и 4
г. З и 4";в;Тема 3;
"Какви нервни импулси се провеждат в гръбначномозъчните нерви ?
1. сетивни импулси от гръбначния мозък до главния мозък
2. сетивни импулси от периферни органи (кожа и мускули) до гръбначния мозък
3. моторни импулси от гръбначния мозък до главния мозък
4. моторни импулси от гръбначния мозък до периферни органи

а. 1 и 2
б. 2 и 4
в. 1 и З
г. само 2";б;Тема 3;
"Как се свързват аксоните на сетивните нервните клетки в сивото мозъчно вещество на гръбначния мозък с нервните клетки в предните рога, които изпращат импулси до мускулите?
1. чрез директни контакти
2. чрез междинни неврони
3. чрез глиални (миелинови) връзки
4. чрез двигателни неврони

а. 1 и 2
б. 1 и 3
в. 2 и З
г. само 1";а;Тема 3;
