Хипофизата и щитовидната жлеза са жлези с вътрешна секреция.;да;Тема 1
Скелетните мускули са изградени от гладки мускулни влакна.;не;Тема 1
Всички тъкани са изградени от еднакви видове специализирани клетки.;не;Тема 1
Основните типове тъкани, които се образуват в зародишното развитие на човек са: съединителна, мускулна и нервна.;не;Тема 1
Според строежа на мускулните клетки и тяхното местоположение се различават 2 вида мускулна тъкан - скелетна и гладка.;не;Тема 1
Гладката мускулна тъкан е волева.;не;Тема 1
Нервната тъкан е изградена от неврони и глиални клетки.;да;Тема 1
Предаването на нервните импулси от неврон на неврон и от неврон на мускулна клетка става чрез глиалните клетки.;не;Тема 1
Сърдечната мускулна тъкан е изградена от къси напречно набраздени клетки, с по 1-2 ядра.;да;Тема 1
Мускулната тъкан има следните свойства: възбудимост, проводимост, съкратимост.;да;Тема 1
Синапсът е разклонение на дендрита.;не;Тема 1
Миелиновата обвивка съдържа главно въглехидрати.;не;Тема 1
Невроните имат тяло, от което излизат множество къси разклонени израстъци, наречени дендрити.;да;Тема 1
Костите и хрущялите изпълняват опорна функция.;да;Тема 1
Мазнините в клетките на мастната тъкан са резерв на енергия.;да;Тема 1
Едни видове от епителната тъкан имат защитна за тялото функция.;да;Тема 1
Кръвта е вид епителна тъкан.;не;Тема 1
Чрез движението си кръвта поддържа постоянна температура на тялото.;да;Тема 1
Епителната тъкан покрива само вътрешната повърхност на кухите вътрешни органи и вътрешната повърхност на сърцето.;не;Тема 1
Съединителната тъкан изгражда обвивките на органите - черен дроб, бъбреци, мускули, нерви, кръвоносни съдове и други.;да;Тема 1
Независимо от голямото разнообразие от организми и изграждащите ги клетки всички те имат сходен химичен състав.;да;Тема 2
Органичните молекули се самосглобяват в надмолекулни комплекси;да;Тема 2
Клетките са в основата на подклетъчните равнища на организация на живата материя.;не;Тема 2
Задния дял на хипофизата отделя хормони, които регулират обратното всмукване в бъбречните каналчета.;да;Тема 2
Повишената концентрация на хормоните на щитовидната жлеза повишава отделянето на хормони от хипоталамуса и хипофизата.;не;Тема 2
Целостта на многоклетъчния организъм като система се поддържа от взаимодействието на съставящите го части и от взаимодействието на организма със заобикалящата го среда.;да;Тема 2
При повишена концентрация в кръвта на естрогени от яйчниците следва понижаване на съответните хормони от подхълмието и хипофизата.;да;Тема 2
Органелите представляват функционално единство от тъкани, които осигуряват определена жизнена потребност на организма.;не;Тема 2
Хомеостазата е постоянство на вътрешната среда на организма поради постоянните условия в които живее.;не;Тема 2
Бъбреците са органи, в които се осъществява уринообразуването, но те отделят и ензима ренин.;да;Тема 2
Подсистеми на мезосистемата са: популации, биоценози, екосистеми;не;Тема 2
Хипоталамуса осъществява нервна и хуморална регулация.;да;Тема 2
Терморегулацията при човек се осъществява на принципа на отрицателната обратна връзка.;да;Тема 2
Същността на хомеостазата е съществуването на устойчиви показатели, които характеризират нормалното състояние на организма.;да;Тема 2
Различните клетъчни органели, които изпълняват обща функция образуват системите в организма.;не;Тема 2
На клетъчно ниво чрез обратна връзка се осъществява регулация на ензимната активност чрез обратно инхибиране.;да;Тема 2
На подклетъчно ниво обратната връзка има голямо значение за координацията на движенията и за секрецията на хормони;не;Тема 2
Хипофизата е разположена в главния мозък - над междинния мозък.;не;Тема 2
Задстомашната и околощитовидните жлези не се регулират от хормоните на хипофизата и следователно за тях не важи принципът за йерархична съподчиненост.;да;Тема 2
Положителната обратна връзка има адаптационно значение и тя не способства пряко за поддържане на хомеостазата.;да;Тема 2
В зависимост от местоположението си нервната система се дели на централна и вегетативна.;не;Тема 3
Централната нервна система се състои от главен мозък и гръбначен мозък.;да;Тема 3
В зависимост от функцията си нервната система се разделя на соматична и вегетативна.;да;Тема 3
Централната нервна система функционира главно чрез рефлекси.;да;Тема 3
Вегетативната нервна система е изградена от нервите, нервните възли и сплетенията.;не;Тема 3
Гръбначният мозък е изграден от централно разположено бяло вещество с формата на буквата Н, което е обградено със сиво вещество.;не;Тема 3
Периферно разположеното бяло вещество на гръбначния мозък е изградено от аксони на нервни клетки, намиращи се в сивото вещество на гръбначния и главния мозък.;да;Тема 3
Бялото вещество на гръбначния мозък образува проводни нервни пътища, изпращащи нервни импулси от гръбначния мозък към главния и обратно.;да;Тема 3
В предните рога на гръбначния мозък се намират нервни клетки, чиито аксони провеждат импулси до главния мозък.;не;Тема 3
При сливането на всяко предно и задно коренче на гръбначния мозък се образува един гръбначномозъчен възел.;не;Тема 3
От гръбначния мозък излизат 32 чифта гръбначномозъчни нерви.;не;Тема 3
Гръбначномозъчните нерви провеждат импулси до кожата и мускулите на шията, туловището и крайниците.;да;Тема 3
В сивото вещество на гръбначния мозък аксоните на сетивните нервни клетки се свързват или направо, или чрез други неврони с нервните клетки в предните рога, изпращащи импулси до мускулите.;да;Тема 3
Веригата от рецептор, сетивен неврон, двигателен неврон и самия мускул се нарича рефлексна дъга.;да;Тема 3
При опарване или убождане нервните импулси се провеждат от рецептора по сетивния неврон до главния мозък, където възбуждането се предава на двигателния неврон.;не;Тема 3
