Епителната тъкан покрива:;а. само външната повърхност на тялото;б. само кухините на вътрешните органи;в. външната повърхност на тялото, вътрешната повърхност на кухите вътрешни органи и въздухоносните пътища;г. само въздухоносните пътища и повърхността на тялото;в
Органите в животинския и човешкия организъм се изграждат от:;а. еднакви по вид тъкани, изпълняващи различни функции;б. различни по вид тъкани, изпълняващи еднаква функция;в. различни тъкани, като всяка тъкан изпълнява своята функция;г. еднакви тъкани, с еднаква функция;в
Съединителната тъкан не включва:;а. мускулни влакна;б. колагенови влакна;в. междуклетъчно вещество;г. еластични влакна;а
Мастната тъкан е:;а. нервна тъкан;б. мускулна тъкан;в. епителна тъкан;г. съединителна тъкан;г
Кръвта е:;а. мускулна тъкан;б. епителна тъкан;в. нервна тъкан;г. съединителна тъкан;г
Коя от посочените функции не е характерна за кръвта?;а. транспортна;б. защитна;в. опорна;г. терморегулационна;в
Кое от посочените не е част от неврона?;а. ядро;б. дендрит;в. глия;г. аксон;в
Сърдечната мускулна тъкан е изградена от:;а. дълги многоядрени клетки;б. къси напречно набраздени клетки;в. гладки и напречно набраздени клетки;г. вретеновидни гладки клетки;б
Жлезите с външна секреция са вид:;а. съединителна тъкан;б. епителна тъкан;в. мускулна тъкан;г. нервна тъкан;б
Жлезите с вътрешна секреция отделят секретите си:;а. в кухините на вътрешните органи;б. в кръвта;в. на повърхността на тялото;г. кухините на вътрешните органи и по повърхността на тялото;б
Кое твърдение за нервната клетка е вярно?;а. дендритите са винаги два броя;б. има две и повече ядра;в. аксонът може да има миелинова обвивка;г. дендритите винаги са по-дълги от аксоните;в
Нервните импулси възникват:;а. в дендритите на неврона;б. в рецепторните нервни клетки;в. в аксона на неврона;г. глиалните клетки;б
Кое от следните твърдения за глиалните клетки не е вярно?;а. по-малко са на брой от невроните;б. няколко вида са и изпълняват различни функции;в. служат за механична опора на невроните;г. глиалните клетки образуват миелиновата обвивка;а
Гладката мускулна тъкан не участва в изграждането на:;а. стените на стомаха;б. пикочен мехур;в. език;г. матка;в
Скелетната мускулна тъкан е изградена от:;а. къси многоядрени клетки;б. дълги многоядрени клетки;в. къси едноядрени клетки;г. дълги едноядрени клетки;б
Сърдечната мускулна тъкан е изградена от:;а. къси вретеновидни клетки;б. дълги многоядрени клетки;в. къси напречно набраздени, с 1-2 ядра клетки;г. къси гладки клетки;в
Епителната тъкан не участва в изграждането на:;а. жлезите;б. лигавиците;в. кожата;г. мастната тъкан;г
Волева е:;а. сърдечната мускулна тъкан;б. гладката мускулна тъкан;в. скелетната мускулна тъкан;г. сърдечната и гладка мускулна тъкан;в
За невроните не е характерно да имат:;а. две и повече ядра;б. един аксон;в. няколко дендрити;г. няколко разклонения на аксона;а
Дължина на аксона при човек може да достигне:;а. най-много до 50 см;б. най-много до 20 см;в. най-много до 5 см;г. повече от 1 м;г
Миелиновата обвивка се образува от:;а. аксоните;б. глиалните клетки;в. дендритите;г. съединителната тъкан;б
В кои от изброените тъкани има най-голямо количество междуклетъчно вещество?;а. съединителна;б. епителна;в. мускулна;г. нервна;а
Като резерв на енергия служи:;а. кръвта;б. мастната тъкан;в. мускулната тъкан;г. хрущялната тъкан;б
Организмът на животните е изграден на йерархичен принцип, което означава, че по-висшите нива на организация надграждат по-низшите такива. Например:;а. молекулите надграждат клетъчните органели;б. тъканите надграждат системите от органи;в. организмът (мезосистемата) надгражда тъканите, органите и системите;г. надмолекулните комплекси надграждат клетъчните органели;в
Надклетъчните нива на организация при животните са:;а. органел, клетка, орган, система;б. тъкан, орган, система от органа, организъм;в. вътрешна течна среда, орган, система, организъм;г. надмолекулен комплекс, клетка, тъкан, орган;б
Най-малката цялостна жива система, основна структурна и функционална единица на организма е:;а. нуклеиновата киселина;б. клетката;в. мезосистемата;г. макросистемата;б
Какво обединява дадена група от органи в система?;а. сходната им морфология;б. месторазположението им в организма;в. общата им функция;г. общият произход на тъканите, които ги изграждат;в
В системите от органи при гръбначните животни присъстват:;а. само по един орган;6. различни органи които изпълняват общи функции;в. различни органи изпълняващи различни функции;г. различни органи изградени само от един вид тъкан;б
Изберете най-точната характеристика. Вътрешната среда на многоклетъчните животински организми и човека:;а. включва кръв, лимфа и тъканна течност;б. снабдява клетките в организма с хранителни вещества;в. поддържа постоянно по стойност осмотично налягане в организма;г. снабдява клетките в организма с кислород;а
Подсистеми на микросистемата са:;а. тъкани, органи, системи;б. атоми, малки и големи молекули, надмолекулни комплекси, органели;в. популации, биоценози, екосистема;г. цитоплазма и органели;б
Системите за регулация в многоклетъчния организъм са изградени и функционират на основата на два принципа:;а. принципа на правата връзка и химичната сигнализация;6. принципа на правата връзка и нервната сигнализация;в. принципа на йерархичната съподчиненост и на обратната връзка;г. принципа на правата и обратната връзка;в
