Различните тъкани са изградени от различни видове _ келтки и _ вещество, което се образува в клетките на тъканта.;специализирани, междуклетъчно
Органите в животинския и човешки организъм се изграждат от _  тъкани, които работят съвместно, като всяка тъкан изпълнява своята _;различни, функция
В кухините на вътрешните органи _ тъкан и намиращата се под нея _ тъкан образуват лигавица.;пителната, съединителна
Едни жлези отделят секретите си на повърхността на тялото или в _ на вътрешните органи. Наричат се жлези с _ секреция.;кухините, външна
Едни видове от епителната тъкан имат _ функция за тялото - предпазват от увреждане лежащите под нея клетки и тъкани. Такава функция изпълняват външния слой на _ слой клетки на устната кухина и други.;защитна, кожата
Съединителната тъкан се състои от различни по строеж и _ клетки и голямо количество_ вещество.;форма, междуклетъчно
В междуклетъчното вещество се намират влакнести структури - _ влакна и _ влакна.;колагенови, еластични
Мастната тъкан е вид _ тъкан, чиито клетки са изпълнени с мазнини. Тя е разположена под _ около някои вътрешни органи и в други части на тялото.;съединителна, кожата
Костите и хрущялите изпълняват _ функция, а някои кости имат и _ функция, като предпазват различни меки органи от увреждане.;опорна, защитна
Пренасяйки различни вещества и _ кръвта изпълнява _ функция.;газове, транспортна
Скелетната мускулна тъкан е изградена от _ многоядрени клетки. Под микроскоп се вижда, че те са _ поради специфично подреждане на съкратителните белтъчни нишки.;дълги, напречно набраздени
Гладката мускулна тъкан се състои от по-къси _ клетки. Под микроскопте изглеждат _ без напречна набразденост.;вретеновидни, гладки
Сърдечната мускулна тъкан е изградена от _ клетки. Те са много по-_ от тези на скелетната мускулна тъкан.;напречно набраздени, къси
Нервната тъкан е изградена от нервни клетки - _ и _ клетки.;неврони, глиални
От нервната тъкан са изградени главният и _ мозък, както и _ възли и нервите в тялото.;гръбначния, нервни
Невроните имат тяло от което излизат множество къси разклонени израстъци, наречени _ и един дълъг израстък - _ който също се разклонява в края си.;дендрити, аксон
Повечето аксони са покрити с обвивка от _ която е образувана от _ клетки.;миелин, глиалните
Под влияние на дразнители невроните се _ при което в клетъчната мембрана възникват сигнали - _;възбуждат, нервни импулси
Предаването на нервните импулси от неврон на _ и от неврон на мускулна клетка става през специални структури, наречени _;неврон,синапси
Глиалните клетки са няколко вида и изпълняват различни функции: служат за механична опора на _ поемат различни вещества от междуклетъчното пространство, образуват _ обвивка, поглъщат и разрушават мъртви нервни клетки.;невроните, миелиновата
Мускулната и _ тъкан позволяват на организма да се ориентира в средата, да възприема нейните _ и да реагира на тях по най-подходящ начин.;нервната, дразнения
За да оцелее при екстремни условия, организмът трябва да притежава редица _ функционални и  _ приспособления.;структурни, биохимични
Макросистемата като равнище на организация на живата материя включва следните подсистеми: _, _ и екосистеми.;популации, биоценози
